fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,price
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,51.5964
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5,58.9078
10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5,46.5958
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5,46.5958
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,49.6928
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,49.6928
7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5,58.7898
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5,47.6934
8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5,52.103
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,58.1898
7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5,47.894
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5,51.0937
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5,48.1934
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5,48.6928
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5,49.8994
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,58.1898
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,47.4922
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,50.3012
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,50.3012
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,47.4922
11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,5,57.9488
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5,50.0964
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5,50.2898
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5,46.9946
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5,62.0802
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,52.20945
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,52.20945
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,52.10945
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,55.0982
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5,47.3934
9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,5,47.8946
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,55.0982
10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,5,52.1934
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5,49.4946
8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,5,51.0946
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,45.9006
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,45.9006
11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5,44.5
7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5,49.0901
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,50.0961
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,50.0961
9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,5,46.6012
7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5,50.1934
8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,5,53.4994
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5,49.3925
8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5,47.6949
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5,44.5018
8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,5,50.2886
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,49.1991
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,49.1991
11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5,50.3018
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5,45.4964
8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5,50.0928
8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5,50.1928
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5,47.3922
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,57.7991
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,57.7991
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,46.8964
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,46.8964
7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5,49.1892
10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5,47.7964
7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,5,49.4892
8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,5,49.1862
9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5,47.7937
9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,5,47.7934
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,47.3973
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,48.2976
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,47.3973
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,48.2976
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,47.3973
7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5,54.7916
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,47.4958
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5,56.703
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5,74.0928
8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5,49.2937
9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,48.2012
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,47.4958
7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5,47.0934
12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5,48.9
9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5,49.0943
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5,55.2898
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5,53.5877
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,48.9904
9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5,47.694
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,48.9904
9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5,51.8952
8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5,51.1937
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5,52.2949
10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5,48.4916
13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,5,41.6012
8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5,50.744
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,58.991
9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5,47.494
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,58.991
7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5,48.191
9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5,50.4994
7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5,48.8886
8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,48.6928
9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5,50.3994
8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5,46.3937
9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5,48.7952
9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,5,48.6952
9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5,50.3003
8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,55.097
7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5,52.9868
7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5,56.0898
10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,5,50.6955
8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5,49.5994
8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5,49.4976
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,49.2928
9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5,49.694
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,49.2928
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5,52.9904
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,49.5928
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,52.2928
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,49.5928
8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5,47.9446
7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,5,53.0904
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5,50.5895
9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5,53.9928
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,50.891
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,50.891
9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5,48.7946
8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5,60.0482
7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5,50.7898
7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,5,51.194
7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5,48.7961
7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,49.8889
7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,49.8889
9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,47.7949
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,5,47.897
9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5,48.89364
6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5,49.3916
11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5,49.20072
11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,5,47.1003
8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,5,48.99346
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,50.09409
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,50.09409
7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5,49.89355
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,50.09409
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,51.08968
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,51.08968
8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5,47.69469
9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5,50.29337
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,48.69214
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,48.69214
8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,5,49.09214
7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5,50.69814
7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5,49.99004
9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,5,47.9934
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5,47.79346
7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5,53.78758
8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,5,55.59364
7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,5,52.49235
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,52.89196
9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,51.39442
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,52.89196
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5,52.39238
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,47.8946
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,47.8946
8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,5,48.794
8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5,50.09454
7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5,56.88917
10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5,50.79358
8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5,49.79238
7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,5,51.78923
8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5,52.69205
7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5,48.49106
7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5,55.78686
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,53.69454
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,53.69454
7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5,50.23896
9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5,50.09928
7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5,51.38818
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,52.2919
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,52.2919
7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5,55.19046
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,57.18872
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,57.18872
8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,47.79082
7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5,48.38965
6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5,54.18941
6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5,55.88887
7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,5,49.8889
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,52.39067
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,52.39067
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,52.39067
6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5,52.19067
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,48.09124
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,48.09124
8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5,50.99403
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,50.99238
7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,5,55.18884
7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5,51.79238
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,50.99238
7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5,51.89244
6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5,55.58566
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,50.79235
9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,5,49.88728
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,50.79235
8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5,54.09472
10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5,50.40867
7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5,53.28728
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,51.59229
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,51.59229
8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5,60.68686
9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,5,49.294
7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5,58.3892
5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5,59.18185
9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,5,53.19358
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,57.68548
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,57.68548
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,55.79238
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5,51.59244
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5,51.59244
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,55.79238
6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5,60.38275
8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,53.38944
8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5,51.99205
7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5,48.98776
6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,5,50.98962
8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,5,47.59199
6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5,55.19007
8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,5,54.68815
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,49.891
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,49.891
8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,5,47.69403
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,49.1907
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5,50.39136
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,49.1907
7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5,49.49079
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,48.98788
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,48.98788
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,49.89082
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,49.89082
10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5,47.49754
8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,5,52.88809
9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,5,55.69166
7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,5,52.38812
7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5,54.78908
7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,5,55.58752
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,5,61.78134
8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5,51.99562
7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5,48.49016
7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5,53.79268
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,54.68902
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,54.68902
8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5,46.89106
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5,69.27774
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5,49.79352
8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5,56.791
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,54.59676
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,54.59676
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,60.79451
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,60.79451
6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5,50.98587
9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5,53.59316
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,47.88998
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,47.88998
6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5,67.78122
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,50.69565
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5,69.37768
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,50.6952
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,51.28023
7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5,49.69358
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5,53.48764
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,50.88848
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,50.88848
10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,5,53.99184
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,50.69076
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,50.69076
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,48.38902
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,51.09127
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,61.48038
9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5,56.83434
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,49.28716
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,57.88614
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,70.1889
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,57.88614
6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,57.78653
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,57.88653
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,50.89634
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5,49.79256
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,49.9871
9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,48.39766
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5,50.58776
9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5,48.99307
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,49.99154
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5,56.78863
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,49.99154
7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,48.68482
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5,49.69187
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,49.5949
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,54.88965
7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,5,52.28506
